term,freq
shirt,18180
cotton,10139
wear,9353
comfort,8836
look,6413
casual,6034
fit,5831
made,5619
fabric,5516
print,4888
women,4424
design,4301
sleev,4221
qualiti,4087
men,3736
wash,3731
day,3617
style,3275
make,3233
feel,3160
neck,2991
perfect,2973
soft,2742
great,2740
pair,2734
stylish,2716
keep,2669
polo,2623
product,2597
fashion,2539
color,2466
jean,2466
give,2416
featur,2409
use,2401
even,2096
machin,2084
cool,2075
full,2042
pocket,1993
button,1922
round,1896
everi,1847
front,1846
slim,1827
sport,1824
brand,1817
tshirt,1780
wardrob,1694
high,1649
