term,freq
shirt,15838
women,13146
men,13060
neck,11952
solid,9246
round,8301
print,8123
pack,4839
blue,4378
fit,3923
black,3503
casual,2927
slim,2893
polo,2668
collar,2427
multicolor,2373
white,2175
sleev,2026
full,2011
grey,1917
regular,1778
cotton,1654
sweatshirt,1343
dark,1340
design,1329
self,1325
green,1298
color,1295
block,1282
stripe,1281
track,1262
pant,1174
checker,1173
red,1110
blend,1070
graphic,1016
yellow,960
spread,886
jean,863
jacket,838
short,780
trouser,766
kurta,703
cap,663
light,660
boxer,604
vest,559
slide,544
crew,539
fabric,536
